25.8410,-17.9390,25.8710,-17.9090
-54.4650,-25.6810,-54.4350,-25.6510
-79.0860,43.0650,-79.0560,43.0950
-62.5500,5.9520,-62.5200,5.9820
86.9100,27.9730,86.9400,28.0030
138.7120,35.3450,138.7420,35.3750
-67.5040,-20.1480,-67.4740,-20.1180
-112.1520,36.0390,-112.1220,36.0690
-109.3650,-27.1310,-109.3350,-27.1010
-151.7480,-16.4980,-151.7180,-16.4680
15.6030,78.2010,15.6630,78.2310
-60.6550,-62.9650,-60.6110,-62.9350
103.8510,13.3850,103.8810,13.4150
-1.8320,51.1510,-1.8010,51.1820
23.7010,37.9510,23.7320,37.9820
-109.2650,38.6680,-109.2350,38.6980
107.1850,20.8850,107.2150,20.9150
29.1010,37.9010,29.1320,37.9320
-116.2320,51.3850,-116.2010,51.4150
25.4010,36.3850,25.4320,36.4150
-11.4090,21.1000,-11.3790,21.1300
8.9850,25.4850,9.0150,25.5150
-49.5750,69.1350,-49.5250,69.1650
-51.7450,64.1680,-51.6980,64.1990
-114.3920,62.4390,-114.3480,62.4690
-125.7600,61.5920,-125.7130,61.6220
107.3780,53.1350,107.4220,53.1650
127.5610,61.1310,127.6080,61.1610
